samples,features,runtime
1501,1,0.0007381439208984375
1501,18,0.0014951229095458984
1501,35,0.007555961608886719
1501,52,0.003968000411987305
1501,69,0.002947092056274414
1501,86,0.0028066635131835938
1501,103,0.0032770633697509766
1501,120,0.003734111785888672
1501,137,0.004106998443603516
1501,154,0.0060160160064697266
1501,171,0.0068590641021728516
1501,188,0.008013010025024414
1501,205,0.009644031524658203
1501,222,0.007984161376953125
1501,239,0.0075032711029052734
1501,256,0.0068149566650390625
1501,273,0.0074901580810546875
1501,290,0.008767843246459961
1501,307,0.013333797454833984
1501,324,0.009824037551879883
1626,1,0.0005140304565429688
1626,18,0.0009469985961914062
1626,35,0.0015709400177001953
1626,52,0.0019829273223876953
1626,69,0.0023708343505859375
1626,86,0.002977132797241211
1626,103,0.009360790252685547
1626,120,0.007487058639526367
1626,137,0.006719827651977539
1626,154,0.006006002426147461
1626,171,0.005021810531616211
1626,188,0.005276918411254883
1626,205,0.006330966949462891
1626,222,0.006294965744018555
1626,239,0.00812220573425293
1626,256,0.011530876159667969
1626,273,0.008669853210449219
1626,290,0.008619070053100586
1626,307,0.00974583625793457
1626,324,0.01823282241821289
1751,1,0.0006887912750244141
1751,18,0.0016078948974609375
1751,35,0.002518177032470703
1751,52,0.002290010452270508
1751,69,0.002992868423461914
1751,86,0.003113985061645508
1751,103,0.004115104675292969
1751,120,0.0042209625244140625
1751,137,0.0050432682037353516
1751,154,0.00966024398803711
1751,171,0.010280847549438477
1751,188,0.013913154602050781
1751,205,0.0071599483489990234
1751,222,0.008765935897827148
1751,239,0.015156030654907227
1751,256,0.011256694793701172
1751,273,0.018275022506713867
1751,290,0.02050471305847168
1751,307,0.01488494873046875
1751,324,0.013604879379272461
1876,1,0.0008769035339355469
1876,18,0.0015499591827392578
1876,35,0.0017118453979492188
1876,52,0.003245830535888672
1876,69,0.005580902099609375
1876,86,0.00714111328125
1876,103,0.006050825119018555
1876,120,0.0072329044342041016
1876,137,0.0066220760345458984
1876,154,0.0065958499908447266
1876,171,0.006973981857299805
1876,188,0.008038043975830078
1876,205,0.01081705093383789
1876,222,0.009536027908325195
1876,239,0.009634256362915039
1876,256,0.012218952178955078
1876,273,0.019350767135620117
1876,290,0.01553487777709961
1876,307,0.01516413688659668
1876,324,0.021409988403320312
2001,1,0.0006608963012695312
2001,18,0.002012014389038086
2001,35,0.0029439926147460938
2001,52,0.0031681060791015625
2001,69,0.0032629966735839844
2001,86,0.0046939849853515625
2001,103,0.0042340755462646484
2001,120,0.005511760711669922
2001,137,0.010654211044311523
2001,154,0.012740135192871094
2001,171,0.014444828033447266
2001,188,0.010255813598632812
2001,205,0.010583877563476562
2001,222,0.010164022445678711
2001,239,0.011597156524658203
2001,256,0.013090133666992188
2001,273,0.01946091651916504
2001,290,0.0164639949798584
2001,307,0.014708995819091797
2001,324,0.01891493797302246
2126,1,0.00043702125549316406
2126,18,0.0017027854919433594
2126,35,0.00220489501953125
2126,52,0.002699613571166992
2126,69,0.004235029220581055
2126,86,0.0036001205444335938
2126,103,0.005763053894042969
2126,120,0.006700038909912109
2126,137,0.008341073989868164
2126,154,0.013915061950683594
2126,171,0.012456178665161133
2126,188,0.011742115020751953
2126,205,0.0155792236328125
2126,222,0.019642114639282227
2126,239,0.019827842712402344
2126,256,0.031720876693725586
2126,273,0.0285189151763916
2126,290,0.0716848373413086
2126,307,0.053810834884643555
2126,324,0.01958298683166504
2251,1,0.0006070137023925781
2251,18,0.0017490386962890625
2251,35,0.0033721923828125
2251,52,0.004085063934326172
2251,69,0.0039899349212646484
2251,86,0.007399082183837891
2251,103,0.007271766662597656
2251,120,0.008738040924072266
2251,137,0.006251096725463867
2251,154,0.006515979766845703
2251,171,0.0075588226318359375
2251,188,0.0077092647552490234
2251,205,0.01028895378112793
2251,222,0.009974002838134766
2251,239,0.010627985000610352
2251,256,0.010460138320922852
2251,273,0.0169217586517334
2251,290,0.016631126403808594
2251,307,0.014397144317626953
2251,324,0.01646900177001953
2376,1,0.0005381107330322266
2376,18,0.0019001960754394531
2376,35,0.003434896469116211
2376,52,0.003988981246948242
2376,69,0.004244089126586914
2376,86,0.0038738250732421875
2376,103,0.004805088043212891
2376,120,0.005208730697631836
2376,137,0.008271217346191406
2376,154,0.010901212692260742
2376,171,0.011697053909301758
2376,188,0.009638071060180664
2376,205,0.009434938430786133
2376,222,0.009315013885498047
2376,239,0.012970924377441406
2376,256,0.013262748718261719
2376,273,0.01277613639831543
2376,290,0.01861882209777832
2376,307,0.019170045852661133
2376,324,0.01600480079650879
