nrule,ndata,totaltime,time_c,COUNT,C_c,accu
6.0,55256.0,27.09344792366028,16.21623682975769,2429.0,750.0,0.669031417402635
6.0,62163.0,29.59659504890442,17.661046981811523,2429.0,750.0,0.669031417402635
7.0,6907.0,4.9762797355651855,2.835988998413086,4315.0,1205.0,0.669031417402635
7.0,13814.0,10.337778091430664,5.941593170166016,4315.0,1205.0,0.669031417402635
7.0,20721.0,14.981152057647705,8.652061939239502,4315.0,1205.0,0.669031417402635
7.0,27628.0,20.52772879600525,11.857967853546143,4315.0,1205.0,0.669031417402635
7.0,34535.0,25.289630889892578,14.622912883758545,4315.0,1205.0,0.669031417402635
7.0,41442.0,30.922948837280273,18.00007677078247,4315.0,1205.0,0.669031417402635
7.0,48349.0,35.225255250930786,20.405373334884644,4315.0,1205.0,0.669031417402635
7.0,55256.0,41.47649002075195,24.211716175079346,4315.0,1205.0,0.669031417402635
7.0,62163.0,45.11092686653137,25.93660283088684,4315.0,1205.0,0.669031417402635
8.0,6907.0,8.36083197593689,4.150680065155029,7119.0,1607.0,0.669031417402635
8.0,13814.0,17.39775586128235,8.71873688697815,7119.0,1607.0,0.669031417402635
8.0,20721.0,25.26711678504944,12.829174041748047,7119.0,1607.0,0.669031417402635
8.0,27628.0,33.9509060382843,17.168763875961304,7119.0,1607.0,0.669031417402635
8.0,34535.0,41.93589782714844,21.07485008239746,7119.0,1607.0,0.669031417402635
8.0,41442.0,51.573890209198,26.13881802558899,7119.0,1607.0,0.669031417402635
8.0,48349.0,59.595215797424316,29.654135704040527,7119.0,1607.0,0.669031417402635
8.0,55256.0,67.86698627471924,34.692193031311035,7119.0,1607.0,0.669031417402635
8.0,62163.0,74.69078779220581,37.60467576980591,7119.0,1607.0,0.669031417402635
9.0,6907.0,11.439035892486572,5.377932786941528,11225.0,2464.0,0.669031417402635
9.0,13814.0,23.940200805664062,11.34525203704834,11225.0,2464.0,0.669031417402635
9.0,20721.0,33.9819061756134,16.05768609046936,11225.0,2464.0,0.669031417402635
9.0,27628.0,46.382771015167236,22.07667589187622,11225.0,2464.0,0.669031417402635
9.0,34535.0,57.03370690345764,27.152549743652344,11225.0,2464.0,0.669031417402635
9.0,41442.0,69.78787899017334,33.34883904457092,11225.0,2464.0,0.669031417402635
9.0,48349.0,79.35040163993835,37.80721473693848,11225.0,2464.0,0.669031417402635
9.0,55256.0,93.97317290306091,44.97594594955444,11225.0,2464.0,0.669031417402635
9.0,62163.0,101.44961977005005,48.36769390106201,11225.0,2464.0,0.669031417402635
10.0,6907.0,20.457097053527832,7.034832239151001,45480.0,3798.0,0.669031417402635
10.0,13814.0,41.21667504310608,14.601986169815063,45480.0,3798.0,0.669031417402635
10.0,20721.0,59.60561990737915,21.344345092773438,45480.0,3798.0,0.669031417402635
10.0,27628.0,80.75237512588501,29.225409984588623,45480.0,3798.0,0.669031417402635
10.0,34535.0,98.73848962783813,35.65137481689453,45480.0,3798.0,0.669031417402635
10.0,41442.0,121.47637701034546,43.86242198944092,45480.0,3798.0,0.669031417402635
10.0,48349.0,137.46972513198853,49.68216109275818,45480.0,3798.0,0.669031417402635
10.0,55256.0,161.19383597373962,58.49437212944031,45480.0,3798.0,0.669031417402635
10.0,62163.0,176.56649684906006,63.98385405540466,45480.0,3798.0,0.669031417402635
11.0,6907.0,39.55231833457947,11.608650207519531,127833.0,4628.0,0.669031417402635
11.0,13814.0,78.13576173782349,24.181663990020752,127833.0,4628.0,0.669031417402635
11.0,20721.0,112.90003395080566,35.53322792053223,127833.0,4628.0,0.669031417402635
11.0,27628.0,153.21355295181274,48.7166211605072,127833.0,4628.0,0.669031417402635
11.0,34535.0,186.2629177570343,59.3915069103241,127833.0,4628.0,0.669031417402635
11.0,41442.0,227.96571111679077,73.08871507644653,127833.0,4628.0,0.669031417402635
11.0,48349.0,258.074903011322,82.61864924430847,127833.0,4628.0,0.669031417402635
11.0,55256.0,301.9755609035492,97.2421498298645,127833.0,4628.0,0.669031417402635
11.0,62163.0,329.28192710876465,105.8519458770752,127833.0,4628.0,0.669031417402635
12.0,6907.0,55.43737602233887,14.752028942108154,201981.0,6474.0,0.669031417402635
12.0,13814.0,106.22531771659851,29.966845989227295,201981.0,6474.0,0.669031417402635
