nrule,ndata,totaltime,time_c,COUNT,C_c,accu
7.0,48349.0,0.51702880859375,0.3884410858154297,4315.0,1205.0,0.669031417402635
7.0,55256.0,0.5652129650115967,0.4351310729980469,4315.0,1205.0,0.669031417402635
7.0,62163.0,0.6293671131134033,0.4794609546661377,4315.0,1205.0,0.669031417402635
8.0,6907.0,0.3166162967681885,0.11132311820983887,7119.0,1607.0,0.669031417402635
8.0,13814.0,0.42145514488220215,0.17187213897705078,7119.0,1607.0,0.669031417402635
8.0,20721.0,0.4455888271331787,0.23656082153320312,7119.0,1607.0,0.669031417402635
8.0,27628.0,0.5157792568206787,0.28786206245422363,7119.0,1607.0,0.669031417402635
8.0,34535.0,0.5425958633422852,0.3307328224182129,7119.0,1607.0,0.669031417402635
8.0,41442.0,0.6259679794311523,0.40340209007263184,7119.0,1607.0,0.669031417402635
8.0,48349.0,0.6980690956115723,0.4486269950866699,7119.0,1607.0,0.669031417402635
8.0,55256.0,0.7504119873046875,0.506584882736206,7119.0,1607.0,0.669031417402635
8.0,62163.0,0.8078629970550537,0.5690066814422607,7119.0,1607.0,0.669031417402635
9.0,6907.0,0.47143101692199707,0.14528203010559082,11225.0,2464.0,0.669031417402635
9.0,13814.0,0.5765640735626221,0.21294116973876953,11225.0,2464.0,0.669031417402635
9.0,20721.0,0.6326248645782471,0.3009178638458252,11225.0,2464.0,0.669031417402635
9.0,27628.0,0.7017221450805664,0.3361530303955078,11225.0,2464.0,0.669031417402635
9.0,34535.0,0.7488551139831543,0.405397891998291,11225.0,2464.0,0.669031417402635
9.0,41442.0,0.8208303451538086,0.4599192142486572,11225.0,2464.0,0.669031417402635
9.0,48349.0,0.9208378791809082,0.529029130935669,11225.0,2464.0,0.669031417402635
9.0,55256.0,0.9917099475860596,0.639549970626831,11225.0,2464.0,0.669031417402635
9.0,62163.0,1.0433828830718994,0.6738221645355225,11225.0,2464.0,0.669031417402635
10.0,6907.0,1.7303199768066406,0.22195887565612793,45480.0,3798.0,0.669031417402635
10.0,13814.0,1.8037147521972656,0.30378198623657227,45480.0,3798.0,0.669031417402635
10.0,20721.0,1.8830268383026123,0.39101696014404297,45480.0,3798.0,0.669031417402635
10.0,27628.0,1.936777114868164,0.4281001091003418,45480.0,3798.0,0.669031417402635
10.0,34535.0,2.0659940242767334,0.5336329936981201,45480.0,3798.0,0.669031417402635
10.0,41442.0,2.1795730590820312,0.6091799736022949,45480.0,3798.0,0.669031417402635
10.0,48349.0,2.249105215072632,0.6802129745483398,45480.0,3798.0,0.669031417402635
10.0,55256.0,2.4762461185455322,0.7568390369415283,45480.0,3798.0,0.669031417402635
10.0,62163.0,3.352734088897705,1.003556251525879,45480.0,3798.0,0.669031417402635
11.0,6907.0,6.147898197174072,0.30426907539367676,127833.0,4628.0,0.669031417402635
11.0,13814.0,5.53186297416687,0.4123849868774414,127833.0,4628.0,0.669031417402635
11.0,20721.0,5.240687847137451,0.46203184127807617,127833.0,4628.0,0.669031417402635
11.0,27628.0,5.3725409507751465,0.5580878257751465,127833.0,4628.0,0.669031417402635
11.0,34535.0,5.7702860832214355,0.6873080730438232,127833.0,4628.0,0.669031417402635
11.0,41442.0,6.764458179473877,0.7870919704437256,127833.0,4628.0,0.669031417402635
11.0,48349.0,6.184777021408081,0.9167971611022949,127833.0,4628.0,0.669031417402635
11.0,55256.0,5.92961311340332,0.9510149955749512,127833.0,4628.0,0.669031417402635
11.0,62163.0,6.357512950897217,1.0772998332977295,127833.0,4628.0,0.669031417402635
12.0,6907.0,8.620728015899658,0.3917529582977295,201981.0,6474.0,0.669031417402635
12.0,13814.0,9.012477159500122,0.5602610111236572,201981.0,6474.0,0.669031417402635
12.0,20721.0,8.341260194778442,0.52431321144104,201981.0,6474.0,0.669031417402635
12.0,27628.0,9.253053188323975,0.7497892379760742,201981.0,6474.0,0.669031417402635
12.0,34535.0,8.541899919509888,0.7415659427642822,201981.0,6474.0,0.669031417402635
12.0,41442.0,8.654327154159546,0.9285550117492676,201981.0,6474.0,0.669031417402635
12.0,48349.0,8.595276832580566,1.0131888389587402,201981.0,6474.0,0.669031417402635
12.0,55256.0,9.013803005218506,1.1235132217407227,201981.0,6474.0,0.669031417402635
12.0,62163.0,10.258622884750366,1.2114508152008057,201981.0,6474.0,0.669031417402635
