CMDLINE /usr/bin/python3 test_memory.py
MEM 69.542969 1544228477.7740
MEM 69.542969 1544228477.8741
MEM 69.542969 1544228477.9742
MEM 69.542969 1544228478.0744
MEM 69.542969 1544228478.1745
MEM 69.542969 1544228478.2746
MEM 69.542969 1544228478.3749
MEM 69.542969 1544228478.4750
MEM 69.542969 1544228478.5753
MEM 69.542969 1544228478.6754
MEM 69.542969 1544228478.7755
MEM 69.542969 1544228478.8756
MEM 69.542969 1544228478.9759
MEM 69.542969 1544228479.0760
MEM 69.542969 1544228479.1762
MEM 69.542969 1544228479.2763
MEM 69.542969 1544228479.3764
MEM 69.542969 1544228479.4767
MEM 69.542969 1544228479.5770
MEM 69.800781 1544228479.6773
MEM 69.800781 1544228479.7775
MEM 69.800781 1544228479.8776
MEM 69.800781 1544228479.9777
MEM 69.800781 1544228480.0779
MEM 69.800781 1544228480.1780
MEM 69.800781 1544228480.2781
MEM 69.921875 1544228480.3783
MEM 69.933594 1544228480.4785
MEM 69.937500 1544228480.5786
MEM 69.945312 1544228480.6792
MEM 70.050781 1544228480.7795
MEM 70.050781 1544228480.8797
MEM 70.050781 1544228480.9800
MEM 70.050781 1544228481.0802
MEM 70.050781 1544228481.1804
MEM 70.062500 1544228481.2806
MEM 70.390625 1544228481.3808
MEM 70.433594 1544228481.4811
MEM 70.433594 1544228481.5813
MEM 70.750000 1544228481.6815
MEM 71.003906 1544228481.7819
MEM 71.003906 1544228481.8822
MEM 71.003906 1544228481.9824
MEM 71.003906 1544228482.0825
MEM 71.003906 1544228482.1827
MEM 71.003906 1544228482.2828
MEM 71.003906 1544228482.3829
MEM 71.003906 1544228482.4831
MEM 71.003906 1544228482.5832
MEM 71.003906 1544228482.6833
MEM 71.003906 1544228482.7834
MEM 71.003906 1544228482.8837
MEM 71.003906 1544228482.9840
MEM 71.003906 1544228483.0842
MEM 71.003906 1544228483.1843
MEM 71.003906 1544228483.2845
MEM 71.003906 1544228483.3846
MEM 71.003906 1544228483.4848
MEM 71.003906 1544228483.5849
MEM 71.003906 1544228483.6853
MEM 71.003906 1544228483.7855
MEM 71.003906 1544228483.8856
MEM 71.003906 1544228483.9860
MEM 71.003906 1544228484.0863
MEM 71.003906 1544228484.1864
MEM 71.003906 1544228484.2865
MEM 71.003906 1544228484.3866
MEM 71.003906 1544228484.4867
MEM 71.003906 1544228484.5869
MEM 71.003906 1544228484.6870
MEM 71.003906 1544228484.7871
MEM 71.003906 1544228484.8872
MEM 71.003906 1544228484.9873
MEM 71.003906 1544228485.0876
MEM 71.003906 1544228485.1878
MEM 71.003906 1544228485.2880
MEM 71.003906 1544228485.3882
MEM 71.003906 1544228485.4883
MEM 71.003906 1544228485.5885
MEM 71.003906 1544228485.6886
MEM 71.003906 1544228485.7887
MEM 71.003906 1544228485.8888
MEM 71.003906 1544228485.9889
MEM 71.003906 1544228486.0891
MEM 71.003906 1544228486.1892
MEM 71.003906 1544228486.2895
MEM 71.003906 1544228486.3898
MEM 71.003906 1544228486.4900
MEM 71.003906 1544228486.5902
MEM 71.003906 1544228486.6905
MEM 71.003906 1544228486.7908
MEM 71.003906 1544228486.8910
MEM 71.003906 1544228486.9912
MEM 71.003906 1544228487.0915
MEM 71.003906 1544228487.1917
MEM 71.003906 1544228487.2919
MEM 71.003906 1544228487.3922
MEM 71.003906 1544228487.4924
MEM 71.003906 1544228487.5926
MEM 71.003906 1544228487.6927
MEM 71.003906 1544228487.7928
MEM 71.003906 1544228487.8929
MEM 71.003906 1544228487.9931
MEM 71.003906 1544228488.0932
MEM 71.003906 1544228488.1933
MEM 71.003906 1544228488.2934
MEM 71.003906 1544228488.3937
MEM 71.003906 1544228488.4940
MEM 71.003906 1544228488.5941
MEM 71.003906 1544228488.6943
MEM 71.003906 1544228488.7944
MEM 71.003906 1544228488.8945
MEM 71.003906 1544228488.9947
MEM 71.003906 1544228489.0948
MEM 71.003906 1544228489.1949
MEM 71.003906 1544228489.2950
MEM 71.003906 1544228489.3953
MEM 71.003906 1544228489.4954
MEM 71.003906 1544228489.5956
MEM 71.003906 1544228489.6959
MEM 71.003906 1544228489.7962
