CMDLINE /usr/bin/python3 test_memory.py
MEM 59.300781 1544226618.0076
MEM 59.300781 1544226618.1078
MEM 59.300781 1544226618.2080
MEM 59.300781 1544226618.3082
MEM 59.300781 1544226618.4084
MEM 59.300781 1544226618.5086
MEM 59.550781 1544226618.6089
MEM 59.550781 1544226618.7090
MEM 59.550781 1544226618.8093
MEM 59.585938 1544226618.9095
MEM 59.585938 1544226619.0097
MEM 59.601562 1544226619.1099
MEM 59.601562 1544226619.2101
MEM 59.882812 1544226619.3102
MEM 59.906250 1544226619.4103
MEM 59.906250 1544226619.5105
MEM 59.906250 1544226619.6106
MEM 59.906250 1544226619.7107
MEM 59.906250 1544226619.8108
MEM 59.906250 1544226619.9110
MEM 59.906250 1544226620.0113
MEM 60.160156 1544226620.1114
MEM 60.160156 1544226620.2116
MEM 60.160156 1544226620.3117
MEM 60.210938 1544226620.4119
MEM 60.214844 1544226620.5122
MEM 60.218750 1544226620.6123
MEM 60.218750 1544226620.7124
MEM 60.222656 1544226620.8125
MEM 60.226562 1544226620.9128
MEM 60.234375 1544226621.0131
MEM 60.238281 1544226621.1133
MEM 60.242188 1544226621.2134
MEM 60.250000 1544226621.3135
MEM 60.253906 1544226621.4136
MEM 60.253906 1544226621.5137
MEM 60.269531 1544226621.6139
MEM 60.539062 1544226621.7140
MEM 60.570312 1544226621.8141
MEM 60.578125 1544226621.9142
MEM 60.585938 1544226622.0145
MEM 60.589844 1544226622.1148
MEM 60.589844 1544226622.2151
MEM 60.589844 1544226622.3153
MEM 60.589844 1544226622.4154
MEM 60.843750 1544226622.5156
MEM 60.894531 1544226622.6158
MEM 60.902344 1544226622.7161
MEM 60.902344 1544226622.8163
MEM 61.199219 1544226622.9165
MEM 61.207031 1544226623.0167
MEM 61.207031 1544226623.1170
MEM 61.246094 1544226623.2173
MEM 61.253906 1544226623.3175
MEM 61.531250 1544226623.4176
MEM 61.566406 1544226623.5177
MEM 61.855469 1544226623.6180
MEM 61.894531 1544226623.7182
MEM 61.894531 1544226623.8185
MEM 62.199219 1544226623.9187
MEM 62.210938 1544226624.0189
MEM 62.230469 1544226624.1192
MEM 62.238281 1544226624.2193
MEM 62.238281 1544226624.3194
MEM 62.515625 1544226624.4197
MEM 62.531250 1544226624.5198
MEM 62.785156 1544226624.6200
MEM 63.320312 1544226624.7202
MEM 63.320312 1544226624.8203
MEM 63.320312 1544226624.9205
MEM 63.468750 1544226625.0206
MEM 63.472656 1544226625.1208
MEM 63.523438 1544226625.2211
MEM 63.542969 1544226625.3212
MEM 63.542969 1544226625.4214
MEM 63.542969 1544226625.5216
MEM 63.792969 1544226625.6218
MEM 63.792969 1544226625.7221
MEM 63.792969 1544226625.8223
MEM 63.847656 1544226625.9225
MEM 63.847656 1544226626.0228
MEM 63.847656 1544226626.1230
MEM 63.847656 1544226626.2232
MEM 64.101562 1544226626.3234
MEM 64.101562 1544226626.4236
MEM 64.101562 1544226626.5238
MEM 64.144531 1544226626.6240
MEM 64.195312 1544226626.7242
MEM 64.195312 1544226626.8243
MEM 64.230469 1544226626.9244
MEM 64.230469 1544226627.0246
MEM 64.230469 1544226627.1247
MEM 64.480469 1544226627.2248
MEM 64.523438 1544226627.3249
MEM 64.531250 1544226627.4252
MEM 64.531250 1544226627.5253
MEM 64.531250 1544226627.6254
MEM 64.851562 1544226627.7256
MEM 64.882812 1544226627.8257
MEM 64.882812 1544226627.9259
MEM 65.156250 1544226628.0261
MEM 65.203125 1544226628.1263
MEM 65.550781 1544226628.2265
MEM 65.550781 1544226628.3267
MEM 65.601562 1544226628.4268
MEM 65.601562 1544226628.5270
MEM 65.906250 1544226628.6271
MEM 65.906250 1544226628.7273
MEM 65.906250 1544226628.8276
MEM 65.906250 1544226628.9278
MEM 65.906250 1544226629.0280
MEM 65.906250 1544226629.1282
MEM 65.906250 1544226629.2285
MEM 65.906250 1544226629.3287
MEM 65.906250 1544226629.4289
MEM 65.906250 1544226629.5292
MEM 66.160156 1544226629.6294
MEM 66.160156 1544226629.7296
MEM 66.160156 1544226629.8298
MEM 66.160156 1544226629.9301
MEM 66.160156 1544226630.0303
MEM 66.160156 1544226630.1304
MEM 66.210938 1544226630.2305
MEM 66.214844 1544226630.3306
MEM 66.218750 1544226630.4307
MEM 66.226562 1544226630.5310
MEM 66.230469 1544226630.6311
MEM 66.234375 1544226630.7312
MEM 66.238281 1544226630.8313
MEM 66.238281 1544226630.9314
MEM 66.261719 1544226631.0318
MEM 66.269531 1544226631.1320
MEM 66.277344 1544226631.2322
MEM 66.281250 1544226631.3323
MEM 66.285156 1544226631.4325
MEM 66.289062 1544226631.5327
MEM 66.292969 1544226631.6328
MEM 66.296875 1544226631.7329
MEM 66.300781 1544226631.8330
MEM 66.316406 1544226631.9331
MEM 66.316406 1544226632.0332
MEM 66.570312 1544226632.1333
MEM 66.609375 1544226632.2336
MEM 66.621094 1544226632.3337
MEM 66.625000 1544226632.4339
MEM 66.628906 1544226632.5342
MEM 66.632812 1544226632.6344
MEM 66.644531 1544226632.7346
MEM 66.683594 1544226632.8348
MEM 66.683594 1544226632.9349
MEM 66.683594 1544226633.0350
MEM 66.937500 1544226633.1351
MEM 66.984375 1544226633.2354
MEM 66.984375 1544226633.3356
MEM 66.984375 1544226633.4359
MEM 67.269531 1544226633.5361
MEM 67.300781 1544226633.6363
MEM 67.316406 1544226633.7364
MEM 67.632812 1544226633.8365
MEM 67.664062 1544226633.9366
MEM 67.664062 1544226634.0368
MEM 67.968750 1544226634.1370
MEM 67.968750 1544226634.2372
MEM 68.281250 1544226634.3375
MEM 68.289062 1544226634.4377
MEM 68.296875 1544226634.5379
MEM 68.300781 1544226634.6382
MEM 68.304688 1544226634.7385
MEM 68.308594 1544226634.8387
MEM 68.312500 1544226634.9390
MEM 68.316406 1544226635.0392
MEM 68.316406 1544226635.1393
MEM 68.320312 1544226635.2395
MEM 68.324219 1544226635.3398
MEM 68.328125 1544226635.4399
MEM 68.332031 1544226635.5402
MEM 68.332031 1544226635.6404
MEM 68.332031 1544226635.7405
MEM 68.332031 1544226635.8406
MEM 68.332031 1544226635.9407
MEM 68.332031 1544226636.0408
MEM 68.332031 1544226636.1409
MEM 68.351562 1544226636.2411
MEM 68.355469 1544226636.3412
MEM 68.359375 1544226636.4414
MEM 68.363281 1544226636.5417
MEM 68.367188 1544226636.6420
MEM 68.367188 1544226636.7421
MEM 68.367188 1544226636.8422
